#Cluster	Sample size	Presence SNPs	Absence SNPs	Filtered presence SNPs	Filtered absence SNPs	Presence markers	Absence markers	Filtered presence markers	Filtered absence markers
L4.1.1.2.2.1.1.2	14	0	0	0	0	0	0	0	0
L4.1.1.2.2.2.1	10	5	0	5	0	5	0	5	0
L4.1.1.2.2.2.2	70	3	0	3	0	3	0	3	0
L4.1.1.2.2.2.2.1	26	27	0	27	0	27	0	27	0
L4.1.1.2.2.2.2.2	37	17	0	17	0	17	0	17	0
L4.1.1.2.2.2.2.1.1	12	7	0	7	0	7	0	7	0
L4.1.1.2.2.2.2.1.2	14	26	0	26	0	26	0	26	0
L4.1.2.1	98	35	0	33	0	33	0	33	0
L4.1.2.2	61	34	0	30	0	30	0	30	0
L4.1.2.1.1	69	117	0	117	0	117	0	115	0
L4.1.2.1.2	29	93	0	93	0	93	0	93	0
L4.1.2.1.1.1	40	5	0	5	0	5	0	5	0
L4.1.2.1.1.2	20	0	0	0	0	0	0	0	0
L4.1.2.1.1.1.1	28	2	0	2	0	2	0	2	0
L4.1.2.1.1.1.2	12	0	0	0	0	0	0	0	0
L4.1.2.2.1	10	11	0	11	0	11	0	11	0
L4.1.2.2.2	43	66	0	64	0	64	0	64	0
L4.1.2.2.2.1	13	0	0	0	0	0	0	0	0
L4.1.2.2.2.2	21	7	0	7	0	7	0	7	0
L4.2.1	1351	125	0	119	0	119	0	117	0
L4.2.2	786	0	0	0	0	0	0	0	0
L4.2.1.1	1281	132	0	126	0	126	0	124	0
L4.2.1.2	64	0	0	0	0	0	0	0	0
L4.2.1.1.1	286	74	0	72	0	72	0	72	0
L4.2.1.1.2	995	61	0	59	0	59	0	59	0
L4.2.1.1.1.1	16	41	0	39	0	39	0	39	0
L4.2.1.1.1.2	262	8	0	8	0	8	0	8	0
L4.2.1.1.1.2.1	17	22	0	22	0	22	0	22	0
L4.2.1.1.1.2.2	245	0	0	0	0	0	0	0	0
L4.2.1.1.1.2.2.1	91	25	0	25	0	25	0	25	0
L4.2.1.1.1.2.2.2	154	100	0	100	0	100	0	100	0
L4.2.1.1.1.2.2.1.1	52	1	0	1	0	1	0	1	0
L4.2.1.1.1.2.2.1.2	10	4	0	4	0	4	0	4	0
